GenID	FL21_STAND_BLUE	FL21_TPF_BLUE	FL21_EL_BLUE	FL21_EW_BLUE	FL21_SOL_BLUE	FL21_TP_BLUE	FL21_CUR_BLUE	FL21_STAND_BLUP	FL21_TPF_BLUP	FL21_EL_BLUP	FL21_EW_BLUP	FL21_SOL_BLUP	FL21_TP_BLUP	FL21_CUR_BLUP
C168	87.03328839	0.998432498	24.30231428	4.511064725	0.850293341	93.7264659	43.01898907	83.76978099	0.996842963	24.1245646	4.76705215	0.817550513	102.4013357	53.42280496
C172	97.03328839	0.988941124	19.00283812	4.603231853	0.835799804	113.128998	28.49040537	92.95682815	0.995138607	22.46085105	4.914830427	0.81320313	112.198218	52.03223332
C178	58.95553375	0.992867215	20.38284578	4.341953768	0.823766323	111.9085613	38.97964426	59.32255219	0.994271646	21.20911402	4.785753204	0.812649355	111.5891568	52.67842704
C180	77.03328839	0.999010882	20.8646294	4.502970695	0.832740453	117.0508489	53.80777698	74.58273383	0.996479568	21.45009562	4.820413214	0.812285468	114.1784705	54.45543023
C187	50.95553375	0.993500977	24.99336586	5.083960224	0.747084732	119.2482736	72.6439285	51.97291447	0.994235449	24.45742253	4.9700056	0.789648467	115.2951833	55.90053046
C188	44.84500724	0.99773881	23.24212661	4.911178734	0.841238457	113.8108088	48.40768332	46.05713158	0.996476173	23.00555677	4.908795864	0.815345073	112.3665778	53.79002963
C189	57.83457108	0.995419502	20.67119107	5.569948821	0.772185453	136.5637618	64.94853777	57.31846281	0.995249856	21.02242182	5.142172764	0.795551498	124.2946039	55.56034747
C190	52.95553375	0.988105471	16.96510888	4.211376017	0.888655379	107.5860371	21.45035823	53.8103239	0.991382607	18.02436704	4.660884179	0.832113035	109.4065931	51.00064973
C191	35.49749188	0.991148889	22.96832264	4.791147715	0.882111914	117.5717148	34.92297397	39.57084101	0.993704768	22.60810272	4.888206102	0.819095627	113.3909044	53.34675969
C193	45.03328839	0.995387591	20.32931724	4.560817872	0.76999374	120.3890028	56.54986127	45.18418293	0.995232987	20.94099555	4.784677685	0.79346439	115.8639979	54.71788283
C194	62.84500724	0.995970995	23.80817449	4.469028385	0.760553379	109.0231138	66.82409959	62.59381646	0.995541452	23.45913187	4.752159813	0.791143326	109.9491363	55.55271668
C196	39.1438149	0.995770902	22.19144142	4.845654456	0.79926328	107.3593595	57.31088839	40.07550923	0.995435665	22.48171359	4.885584025	0.804788988	109.4680429	54.58150446
C203	98.21177096	0.995590961	17.42598281	4.252739244	0.835268196	104.4744203	38.56937339	95.09788596	0.995340508	18.22826692	4.675538768	0.815432525	108.5382437	52.9393007
C208	43.1438149	0.990304245	20.98559752	4.348932211	0.824645027	105.5373667	55.7028418	43.75032809	0.992545202	21.5154689	4.70961535	0.812402324	108.5480677	54.42759379
C209	15.79508797	0.998761699	20.26845367	4.933245098	0.733282496	83.94895209	31.38624537	22.22881191	0.996390011	20.73035476	4.913034257	0.793386553	102.5020928	53.3158917
C227	73.1438149	0.992645319	20.73370048	4.598339185	0.824893845	103.7252957	43.5342843	71.31146957	0.993783031	21.31362338	4.79797019	0.812476958	107.6331022	53.26290689
C229	59.1438149	0.99384041	22.08613941	4.963026268	0.762257686	111.893693	60.0464699	58.44960355	0.994414929	22.39733491	4.927164128	0.793689041	111.757555	54.84333466
