GenID CA21_STAND_BLUE CA21_DTP_BLUE CA21_HP_BLUE CA21_EW_BLUE CA21_EL_BLUE CA21_TPF_BLUE CA21_PH_BLUE CA21_EH_BLUE CA21_STAND_BLUP CA21_DTP_BLUP CA21_HP_BLUP CA21_EW_BLUP CA21_EL_BLUP CA21_TPF_BLUP CA21_PH_BLUP CA21_EH_BLUP
C046 14.2222222222225 65.9385964912279 2.99614746325271 3.68217559664925 17.9880867709813 4.536174332227 89.7368421052632 34.3421052631579 17.2041975383791 65.8612028774 3.0129653024639 3.81508832680838 17.8352482025831 4.37252602983294 91.4504231498031 35.7533232897085
C047 13.5555555555555 69.2719298245614 3.10725857436384 3.57106448553817 17.0991978820926 4.20284099889363 99.7368421052632 39.3421052631579 16.5951607217273 68.6063447456409 3.10519456073715 3.75242979249247 17.1055982851575 4.09924393389579 98.619289250129 38.421745680625
C048 22.2222222222222 67.6052631578948 2.88503635214161 3.68217559664928 18.8769756598704 3.75839655444919 86.4035087719298 32.6754385964912 24.5126393382 67.2337738115204 2.92073604419065 3.81508832680838 18.5648981200087 3.73486780597959 89.0608011163612 34.8638491594031
C054 61.5555555555556 65.6052631578948 2.7739252410305 4.01550892998261 21.3214201043148 4.8695076655603 89.7368421052632 32.6754385964912 60.4458115206526 65.5866886905759 2.8285067859174 4.00306392975611 20.5714353929289 4.6458081257701 91.4504231498031 34.8638491594031
C055 71.5555555555556 64.9385964912281 3.55170301880828 3.9043978188715 19.2103089932037 2.42506322111586 99.7368421052632 39.3421052631579 69.5813637704287 65.0376603169278 3.47411159383014 3.9404053954402 18.8385168390432 2.64173942223099 98.619289250129 38.421745680625
C058 36.8888888888889 67.2719298245614 3.32948079658606 4.23773115220483 17.8769756598704 4.31395211000474 83.0701754385965 36.0087719298246 37.9114493045382 66.9592596246964 3.28965307728364 4.12838099838793 17.7440419629049 4.19033796587484 86.6711790829193 36.642797420014
C060 54.8888888888889 66.9385964912281 3.44059190769717 3.68217559664928 16.4325312154259 4.09172988778252 101.40350877193 44.3421052631579 54.3554433541352 66.6847454378723 3.38188233555689 3.81508832680838 16.5583608470884 4.00814990191674 99.8141002668499 41.0901680715414
C061 52.8888888888889 64.6052631578948 1.88503635214161 3.57106448553817 19.0991978820926 3.20284099889363 101.40350877193 37.6754385964912 52.52833290418 64.7631461301037 2.09067271973141 3.75242979249247 18.747310599365 3.27939764608434 99.8141002668499 37.5322715503195
C069 26.8888888888889 68.2719298245614 3.21836968547495 3.79328670776039 17.8769756598704 4.53617433222697 94.7368421052632 37.6754385964912 28.7758970547621 67.7828021851686 3.19742381901039 3.87774686112429 17.7440419629049 4.37252602983294 95.0348561999661 37.5322715503195
C073 2.22222222222222 70.4078947368421 4.95175438596491 3.07456140350877 18.5482456140351 1.10087719298246 114.605263157895 49.0131578947368 6.24153483864774 69.2141642420392 4.2391677861182 3.70898063301361 17.9911861423427 2.11331577570982 107.605608257421 42.4080157437302
C074 8.22222222222221 67.6052631578948 2.82948079658606 3.18217559664928 17.1547534376482 3.92506322111586 94.7368421052632 36.0087719298246 11.7228661885134 67.2337738115204 2.87462141505402 3.53312492238679 17.1512014049966 3.87150885394817 95.0348561999661 36.642797420014
C103 69.5555555555556 65.6052631578948 1.55170301880828 4.01550892998261 20.2103089932037 3.42506322111586 99.7368421052632 31.0087719298246 67.7542533204735 65.5866886905759 1.81398494491166 4.00306392975611 19.659372996147 3.46158571004244 98.619289250129 33.9743750290976
C112 56.8888888888889 68.9385964912281 2.7739252410305 3.79328670776039 16.7658645487593 3.20284099889363 99.7368421052632 41.0087719298246 56.1825538040904 68.3318305588168 2.8285067859174 3.87774686112429 16.831979566123 3.27939764608434 98.619289250129 39.3112198109305
C165 52.8888888888889 64.2719298245614 2.88503635214161 3.79328670776039 16.6547534376482 4.42506322111586 79.7368421052632 32.6754385964912 52.52833290418 64.4886319432796 2.92073604419065 3.87774686112429 16.7407733264448 4.28143199785389 84.2815570494773 34.8638491594031
C166 66.2222222222222 65.2719298245614 3.21836968547495 3.57106448553817 15.9880867709815 2.64728544333808 98.0701754385965 31.0087719298246 64.7090692372148 65.3121745037519 3.1974238190104 3.75242979249247 16.1935358883756 2.82392748618909 97.424478233408 33.9743750290976
C168 47.5555555555556 66.2719298245614 2.7739252410305 4.01550892998261 17.2103089932037 4.8695076655603 99.7368421052632 41.0087719298246 47.6560383709661 66.1357170642241 2.8285067859174 4.00306392975611 17.1968045248357 4.6458081257701 98.619289250129 39.3112198109305
C172 45.5555555555556 63.2719298245614 1.99614746325273 3.57106448553817 18.4325312154259 3.64728544333808 98.0701754385965 36.0087719298246 45.8289279210109 63.6650893828074 2.18290197800466 3.75242979249247 18.2000731612959 3.64377377400054 97.424478233408 36.642797420014
C176 34.8888888888889 64.2719298245614 2.32948079658606 4.34884226331595 16.0991978820926 3.75839655444919 79.7368421052632 31.0087719298246 36.084338854583 64.4886319432796 2.4595897528244 4.19103953270384 16.2847421280538 3.73486780597959 84.2815570494773 33.9743750290976
C188 74.2222222222222 63.9385964912281 2.7739252410305 4.23773115220483 17.6547534376482 3.98061877667141 84.7368421052632 34.3421052631579 72.0175110370357 64.2141177564555 2.8285067859174 4.12838099838793 17.5616294835485 3.91705586993769 87.8659900996402 35.7533232897085
