GenID WI20_DTP_BLUE WI20_DTS_BLUE WI20_KRN_BLUE WI20_HAP_BLUE WI20_HP_BLUE WI20_EW_BLUE WI20_EL_BLUE WI20_TPF_BLUE WI20_RAP_BLUE WI20_ES_BLUE WI20_CR_BLUE WI20_FL_BLUE WI20_TXT_BLUE WI20_RT_BLUE WI20_HD_BLUE WI20_PH_BLUE WI20_EH_BLUE WI20_DTP_BLUP WI20_DTS_BLUP WI20_KRN_BLUP WI20_HAP_BLUP WI20_HP_BLUP WI20_EW_BLUP WI20_EL_BLUP WI20_TPF_BLUP WI20_RAP_BLUP WI20_ES_BLUP WI20_CR_BLUP WI20_FL_BLUP WI20_TXT_BLUP WI20_RT_BLUP WI20_HD_BLUP WI20_PH_BLUP WI20_EH_BLUP
C001 54.0042372881353 55.9766949152539 20.3241525423728 2.93829787234045 2.94680851063826 5.06042553191583 20.4021276595741 2.95744680851063 2.98510638297871 3.50851063829788 3.01515151515151 3.49152542372878 3.4617021276596 2.96595744680848 78.9766949152554 196.588983050844 75.8898305084744 53.9326834748752 55.9298317572822 19.8555620488517 3.39166031550035 2.91087480229071 4.81261116091892 20.3760830457652 2.99918075422964 3.27908071203115 3.52249420119263 3.14882294274753 3.53708689743565 3.11403151280812 2.89751364749375 78.9298317572797 195.083613783787 74.8823187128813
C009 50.5042372881356 51.9766949152542 18.3241525423729 4.43829787234042 2.4468085106383 4.6604255319149 20.9021276595745 0.957446808510643 2.98510638297872 3.50851063829787 2.51515151515152 2.99152542372881 2.46170212765958 1.96595744680851 74.9766949152542 189.088983050847 55.8898305084746 50.7763081827413 52.3491570760053 18.1815380443446 4.08249443593648 2.51776621319814 4.57959718868683 20.7944765891628 1.30566441810366 3.27908071203115 3.52249420119263 2.86887798830435 3.48510805555279 2.64372460469704 2.26137666174324 75.3491570760307 189.084742574038 62.8080781715472
C010 50.0042372881356 51.9766949152542 19.8241525423729 0.938297872340425 1.4468085106383 4.7604255319149 24.9021276595745 1.45744680851064 3.48510638297872 2.00851063829787 3.01515151515151 3.99152542372881 1.96170212765958 1.96595744680851 74.9766949152542 189.088983050847 75.8898305084746 50.3253974267221 52.3491570760053 19.4370560477249 2.47054815491886 1.731549035013 4.63785068174485 24.1416249363441 1.72904350213515 3.55257590112191 2.54135798228743 3.14882294274753 3.5890657393185 2.4085711506415 2.26137666174324 75.3491570760307 189.084742574038 74.8823187128813
C011 50.5042372881356 53.4766949152542 20.8241525423729 4.43829787234042 0.946808510638299 4.9604255319149 22.9021276595745 0.957446808510643 1.98510638297872 3.50851063829787 3.51515151515151 3.49152542372881 3.46170212765957 2.46595744680851 76.4766949152542 191.588983050847 68.3898305084746 50.7763081827413 53.6919100814842 20.2740680499785 4.08249443593648 1.33844044592043 4.7543576678609 22.4680507627535 1.30566441810366 2.73209033384962 3.52249420119263 3.42876789719071 3.53708689743565 3.11403151280812 2.57944515461849 76.6919100814991 191.084366310621 70.354478509881
C013 51.5042372881356 53.9766949152542 20.8241525423729 2.43829787234042 0.446808510638298 4.5604255319149 20.4021276595745 0.957446808510642 3.48510638297872 2.50851063829787 3.01515151515151 3.49152542372881 1.96170212765958 1.46595744680851 76.9766949152542 169.088983050847 70.8898305084746 51.6781296947795 54.1394944166438 20.2740680499785 3.16138227535498 0.945331856827859 4.52134369562881 20.3760830457652 1.30566441810366 3.55257590112191 2.86840338858916 3.14882294274753 3.53708689743565 2.4085711506415 1.94330816886798 77.1394944166552 173.087752681374 71.8637585775478
C017 55.5042372881356 56.9766949152542 17.8241525423729 3.93829787234042 1.4468085106383 4.6604255319149 20.4021276595745 2.95744680851064 3.48510638297872 3.50851063829787 2.51515151515152 2.99152542372881 1.96170212765958 1.96595744680851 79.9766949152542 216.588983050847 80.8898305084746 55.2854157429325 56.8250004276014 17.7630320432179 3.8522163957911 1.731549035013 4.57959718868683 20.3760830457652 2.99918075422964 3.55257590112191 3.52249420119263 2.86887798830435 3.48510805555279 2.4085711506415 2.26137666174324 79.8250004275919 211.080603676451 77.9008788482149
C018 55.0042372881356 56.9766949152542 18.3241525423729 2.43829787234042 1.4468085106383 4.5604255319149 19.9021276595745 2.95744680851064 2.98510638297872 3.00851063829787 3.03030303030303 2.99152542372881 2.96170212765958 2.96595744680851 79.9766949152542 189.088983050847 68.3898305084746 54.8345049869134 56.8250004276014 18.1815380443446 3.16138227535498 1.731549035013 4.52134369562881 19.9576895023675 2.99918075422964 3.27908071203115 3.1954487948909 3.20668273025217 3.48510805555279 2.87887805875258 2.89751364749375 79.8250004275919 189.084742574038 70.354478509881
C022 53.5042372881356 55.9766949152542 20.3241525423729 4.43829787234042 2.4468085106383 5.0604255319149 20.9021276595745 3.95744680851064 3.48510638297872 4.00851063829787 3.51515151515151 3.99152542372881 3.46170212765957 3.96595744680851 78.9766949152542 194.088983050847 60.8898305084746 53.481772718856 55.9298317572822 19.8555620488517 4.08249443593648 2.51776621319814 4.81261116091892 20.7944765891628 3.84593892229263 3.55257590112191 3.84953960749437 3.42876789719071 3.5890657393185 3.11403151280812 3.53365063324426 78.9298317572797 193.083990047204 65.8266383068807
C027 53.0042372881356 54.4766949152542 13.8241525423729 4.43829787234042 1.9468085106383 3.9604255319149 19.9021276595745 3.95744680851064 3.48510638297872 4.00851063829787 3.51515151515151 3.49152542372881 2.96170212765958 2.96595744680851 77.4766949152542 199.088983050847 75.8898305084746 53.0308619628369 54.5870787518034 14.4149840342038 4.08249443593648 2.12465762410557 4.17182273728069 19.9576895023675 3.84593892229263 3.55257590112191 3.84953960749437 3.42876789719071 3.53708689743565 2.87887805875258 2.89751364749375 77.5870787518113 197.08323752037 74.8823187128813
C038 51.0042372881356 53.4766949152542 13.8241525423729 2.93829787234042 3.9468085106383 4.2604255319149 21.4021276595745 4.95744680851064 2.98510638297872 3.50851063829787 3.01515151515151 3.49152542372881 1.46170212765958 1.46595744680851 76.4766949152542 161.588983050847 63.3898305084746 51.2272189387604 53.6919100814842 14.4149840342038 3.39166031550035 3.69709198047585 4.34658321645475 21.2128701325605 4.69269709035562 3.27908071203115 3.52249420119263 3.14882294274753 3.53708689743565 2.17341769658597 1.94330816886798 76.6919100814991 167.088881471625 67.3359183745475
