GenID WI21_DTP_BLUE WI21_DTS_BLUE WI21_KRN_BLUE WI21_HAP_BLUE WI21_HP_BLUE WI21_EW_BLUE WI21_EL_BLUE WI21_TPF_BLUE WI21_RAP_BLUE WI21_ES_BLUE WI21_CR_BLUE WI21_FL_BLUE WI21_TXT_BLUE WI21_RT_BLUE WI21_HD_BLUE WI21_DTP_BLUP WI21_DTS_BLUP WI21_KRN_BLUP WI21_HAP_BLUP WI21_HP_BLUP WI21_EW_BLUP WI21_EL_BLUP WI21_TPF_BLUP WI21_RAP_BLUP WI21_ES_BLUP WI21_CR_BLUP WI21_FL_BLUP WI21_TXT_BLUP WI21_RT_BLUP WI21_HD_BLUP
C046 57.2136752136756 60.5982905982908 15.923076923077 4.36369770580296 3.39035087719299 4.35764502164506 18.601038961039 5.1148051948052 3.28952380952381 4.01367965367967 2.75078232569785 3.38614718614721 2.89316017316018 2.99930735930737 83.5982905982907 56.9781211765262 60.1858213151199 16.0352565380885 4.09475829837087 3.42600721650907 4.42280256467496 18.6907122225416 4.95732533303354 3.46309427539138 3.9386818495212 2.83431271038621 3.49553310232087 2.85155030106329 3.01335992897011 83.1858213151212
C047 56.2136752136752 60.2649572649573 18.5897435897436 5.03036437246964 4.05701754385965 4.75764502164502 18.9343722943723 5.11480519480519 4.28952380952381 4.68034632034632 4.08411565903117 4.38614718614719 3.89316017316017 4.33264069264069 83.2649572649573 56.0821205061355 59.890427373399 18.368589491578 4.41611497526536 4.00259147204444 4.72914335948393 18.9912759262062 4.95732533303354 4.0524421257165 4.40725881290425 3.90571193672971 3.93446922780368 3.47144012998355 3.65297519692431 82.8904273734001
C048 57.2136752136752 60.2649572649573 16.5897435897436 4.03036437246964 2.72368421052632 4.42431168831169 20.9343722943723 2.11480519480519 3.62285714285714 3.68034632034632 4.4174489923645 4.05281385281385 3.22649350649351 2.99930735930736 83.2649572649573 56.9781211765262 59.890427373399 16.6185897764608 3.93407995992363 2.84942296097371 4.47385936380979 20.7946581481939 2.35021967109212 3.65954355883309 3.70439336782968 4.17356174331558 3.78815718597608 3.05818024403671 3.01335992897011 82.8904273734001
C054 54.5470085470086 56.931623931624 17.5897435897436 4.6970310391363 3.72368421052632 4.49097835497836 22.2677056277056 4.11480519480519 3.62285714285714 4.01367965367965 3.08411565903117 3.71948051948052 2.89316017316017 2.99930735930736 79.9316239316239 54.5887860554842 56.9364879561896 17.4935896340194 4.25543663681812 3.71429934427675 4.52491616294462 21.9969129628524 4.0882901123864 3.65954355883309 3.9386818495212 3.10216251697209 3.64184514414847 2.85155030106329 3.01335992897011 79.9364879561896
C055 53.8803418803419 55.5982905982906 15.2564102564103 5.03036437246964 4.39035087719298 4.29097835497836 19.9343722943723 4.44813852813853 3.95619047619048 4.01367965367965 3.08411565903117 4.05281385281385 3.55982683982684 3.66597402597403 78.5982905982906 53.9914522752237 55.7549121893058 15.4519232997161 4.41611497526536 4.29088359981212 4.37174576554013 19.8929670372001 4.37796851926878 3.85599284227479 3.9386818495212 3.10216251697209 3.78815718597608 3.26481018701013 3.33316756294721 78.7549121893054
C058 55.8803418803419 59.2649572649573 19.2564102564103 5.03036437246964 4.39035087719298 4.69097835497836 19.2677056277056 4.78147186147186 4.62285714285714 5.01367965367965 3.4174489923645 3.71948051948052 3.22649350649351 3.99930735930736 82.2649572649573 55.7834536160052 59.0042455482361 18.9519227299504 4.41611497526536 4.29088359981212 4.67808656034911 19.2918396298709 4.66764692615116 4.2488914091582 4.64154729459577 3.37001232355796 3.64184514414847 3.05818024403671 3.49307137993576 82.004245548237
C060 54.8803418803419 57.5982905982906 16.9230769230769 4.36369770580297 3.05701754385965 4.49097835497836 19.9343722943723 4.44813852813853 3.95619047619048 3.68034632034632 4.08411565903117 4.05281385281385 3.22649350649351 3.99930735930736 80.5982905982906 54.8874529456144 57.5272758396314 16.910256395647 4.09475829837087 3.13771508874139 4.52491616294462 19.8929670372001 4.37796851926878 3.85599284227479 3.70439336782968 3.90571193672971 3.78815718597608 3.05818024403671 3.49307137993576 80.5272758396317
C061 55.5470085470086 57.5982905982906 18.9230769230769 4.6970310391363 1.72368421052632 4.62431168831169 21.2677056277056 3.11480519480519 2.95619047619048 3.01367965367965 3.4174489923645 3.71948051948052 3.22649350649351 2.66597402597403 80.5982905982906 55.484786725875 57.5272758396314 18.6602561107642 4.25543663681812 1.98454657767066 4.62702976121428 21.0952218518585 3.21925489173926 3.26664499194968 3.23581640444663 3.37001232355796 3.64184514414847 3.05818024403671 2.85345611198157 80.5272758396317
C069 54.2136752136752 58.2649572649573 15.2564102564103 4.36369770580297 3.72368421052632 4.09097835497836 19.9343722943723 4.44813852813853 3.95619047619048 4.34701298701299 3.75078232569783 4.05281385281385 2.89316017316017 3.33264069264069 81.2649572649573 54.2901191653539 58.1180637230733 15.4519232997161 4.09475829837087 3.71429934427675 4.21857536813564 19.8929670372001 4.37796851926878 3.85599284227479 4.17297033121272 3.63786213014383 3.78815718597608 2.85155030106329 3.17326374595866 81.1180637230738
C073 64.2136752136752 66.2649572649573 13.9230769230769 4.36369770580297 5.05701754385965 4.95764502164502 19.9343722943723 3.78147186147186 3.62285714285714 3.68034632034632 3.08411565903117 4.05281385281385 2.55982683982684 3.66597402597403 89.2649572649573 63.2501258692615 65.2075183243759 14.2852568229713 4.09475829837087 4.86746785534749 4.88231375688842 19.8929670372001 3.79861170550402 3.65954355883309 3.70439336782968 3.10216251697209 3.78815718597608 2.64492035808987 3.33316756294721 88.207518324379
