GenID BG20_STAND_BLUE BG20_DTP_BLUE BG20_HP_BLUE BG20_EW_BLUE BG20_EL_BLUE BG20_TPF_BLUE BG20_PH_BLUE BG20_EH_BLUE BG20_STAND_BLUP BG20_DTP_BLUP BG20_HP_BLUP BG20_EW_BLUP BG20_EL_BLUP BG20_TPF_BLUP BG20_PH_BLUP BG20_EH_BLUP
C001 79.2361130922178 59.999999590249 0.973743746128889 5.16792466528634 19.2903373545523 1.30833225973239 162.446615471946 77.5815150315649 79.2175992786674 59.1787046312844 1.11650248397892 4.91044463761931 19.3941729175994 1.59018193909741 160.174524249141 75.2839155715428
C009 92.0394795081024 59.999999590249 1.67005565773525 4.576229713861 22.9557508870593 1.55331600284938 157.458123410966 63.4717838856403 90.6236113476799 59.5501186895047 1.72349057309759 4.56064979756567 22.6508088095603 1.71876833161626 156.983673911589 64.6727295114146
C010 87.4806027613194 59.8048784992261 1.00509467352775 4.76723199478059 23.4552506251085 1.22878688727916 152.482979249125 67.8065633105849 86.3609531351941 59.5993526199619 1.17022437462741 4.68073846589493 23.0948954328043 1.44818611742825 152.089524646142 67.5729427166306
C011 83.3920592991497 59.3048792114169 1.18433061231998 4.81446344226705 21.85718341928 1.20175504925055 145.825136749042 55.3681583481895 82.9029742124595 59.2879489491436 1.30630039320786 4.70441237042494 21.6886204069318 1.5246849279011 146.985759182075 57.5504050536303
C013 59.0394795081024 59.999999590251 1.00338899106858 4.49289638052767 20.5390842203926 0.719982669516046 134.958123410966 63.4717838856403 61.8603177817627 59.5501186895047 1.18389088904673 4.51147383188664 20.5043897418196 1.04173306626038 137.679090701586 64.6727295114146
C017 68.0394795081024 59.999999590249 1.17005565773525 4.99289638052767 21.7890842203926 0.886649336182713 177.458123410966 85.9717838856403 69.7048523906492 59.1787046312844 1.31879081005945 4.80652962596081 21.6146065009959 1.17714011933156 174.143303431591 83.5465749035313
C018 75.2887587574355 59.999999590249 1.0164543392624 4.89275669306548 22.7851819728752 1.30081611264326 155.227986866932 65.7102580968872 75.3780087782597 59.1787046312844 1.17334812714031 4.73954820655047 22.5027795880711 1.60328815776774 154.987803000841 66.3953404048188
C022 54.4848755824396 59.999999590249 1.50196045019283 5.03823625281074 20.3649319806669 1.46932436915692 152.05787437633 59.615517398755 57.5629783706877 59.1787046312844 1.57991774390161 4.81939476939764 20.3563604542848 1.71733319797311 152.363356169971 61.5165635060427
C027 89.6340316775526 59.999999590249 1.000251161018 4.05386568407651 22.782972167719 2.62358895032967 154.52883528477 73.0810515290428 88.0962674636824 59.1787046312844 1.15060653909309 4.26811231576056 22.5027795526519 2.62320535166153 153.420427386469 71.2435434858534
C038 37.0826841759846 58.8048772114313 1.47858725863873 4.13129097599002 20.7959491452761 4.74686353001524 137.900759436296 62.307026813103 42.6176866884612 58.9765446952414 1.54082008255137 4.29037550849408 20.7264333038692 4.34196724392821 139.539038298811 63.2249390724904
